epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.383,2.27587,4.24773,1.70127,0,0,0,0,1.47217,4.27044,1.39539,7.5e-05,7.5e-05,7.5e-05
2,24.3479,1.75686,4.145,1.31084,0,0,0,0,1.27293,4.12624,1.19051,0.000160891,0.000160891,0.000160891
3,36.1075,1.51412,3.94324,1.15449,0.01887,0.21023,0.03492,0.01272,1.22756,3.91844,1.06972,0.00024505,0.00024505,0.00024505
4,47.9045,1.49272,3.70523,1.09554,0.04797,0.43621,0.09175,0.02853,1.24882,3.8233,1.04292,0.000327476,0.000327476,0.000327476
5,59.875,1.37635,3.50559,1.05737,0.05823,0.51275,0.16802,0.05098,1.32636,3.76517,1.0624,0.00040817,0.00040817,0.00040817
6,72.0663,1.3317,3.30001,1.04547,0.07124,0.70593,0.31,0.14118,1.25236,3.63151,1.00865,0.000487131,0.000487131,0.000487131
7,84.7064,1.4661,3.28358,1.055,0.06977,0.69315,0.29656,0.1416,1.24733,3.58605,0.99659,0.00056436,0.00056436,0.00056436
8,98.4762,1.46812,3.08763,1.05921,0.06827,0.71919,0.32347,0.14993,1.292,3.46554,0.99639,0.000639856,0.000639856,0.000639856
9,111.755,1.41147,2.92322,1.02625,0.94898,0.14185,0.35074,0.17792,1.26005,3.35854,0.97805,0.00071362,0.00071362,0.00071362
10,125.078,1.38253,2.72685,1.04803,0.90985,0.17733,0.33954,0.17077,1.28446,3.20626,0.98012,0.000785651,0.000785651,0.000785651
11,138.391,1.48391,2.5509,1.05785,0.69445,0.2358,0.42409,0.19687,1.38454,2.89681,1.02091,0.00085595,0.00085595,0.00085595
12,151.818,1.46846,2.31138,1.03689,0.59334,0.34858,0.49017,0.24704,1.3586,2.63319,1.00976,0.000924516,0.000924516,0.000924516
13,165.106,1.48042,2.20273,1.05973,0.6337,0.48847,0.56805,0.28976,1.32462,2.30257,0.98261,0.00099135,0.00099135,0.00099135
14,178.246,1.45073,2.0964,1.04393,0.6337,0.48847,0.56805,0.28976,1.32462,2.30257,0.98261,0.00105645,0.00105645,0.00105645
15,191.563,1.43105,1.97409,1.05034,0.53328,0.67809,0.6,0.33852,1.32551,2.02109,1.00926,0.00107675,0.00107675,0.00107675
16,204.658,1.42475,1.88056,1.04266,0.51407,0.72244,0.60949,0.37076,1.33773,1.77112,1.0358,0.00106437,0.00106437,0.00106437
17,217.726,1.41874,1.80559,1.07167,0.54869,0.78517,0.65293,0.42048,1.29412,1.43892,1.05076,0.001052,0.001052,0.001052
18,230.85,1.36416,1.66022,1.02632,0.61529,0.78253,0.69447,0.44039,1.24791,1.27642,1.03213,0.00103962,0.00103962,0.00103962
19,243.996,1.39436,1.61499,1.04647,0.60483,0.75908,0.69967,0.44627,1.22085,1.26581,1.03029,0.00102725,0.00102725,0.00102725
20,257.823,1.3196,1.47089,1.03095,0.54934,0.78052,0.67576,0.43196,1.2341,1.30037,1.04278,0.00101488,0.00101488,0.00101488
21,270.714,1.33183,1.40162,1.03178,0.59949,0.69473,0.69496,0.45083,1.24059,1.2811,1.05745,0.0010025,0.0010025,0.0010025
22,283.962,1.31827,1.38215,1.00898,0.59949,0.69473,0.69496,0.45083,1.24059,1.2811,1.05745,0.000990125,0.000990125,0.000990125
23,296.979,1.32363,1.32559,1.05563,0.55132,0.81287,0.72747,0.46207,1.28382,1.20393,1.0778,0.00097775,0.00097775,0.00097775
24,310.053,1.30712,1.33233,1.0455,0.62307,0.75402,0.77256,0.49143,1.23249,1.17631,1.05689,0.000965375,0.000965375,0.000965375
25,323.086,1.31896,1.25667,1.03876,0.54104,0.87497,0.77332,0.4847,1.25043,1.15746,1.0801,0.000953,0.000953,0.000953
26,336.25,1.30437,1.23541,1.05256,0.89201,0.65628,0.75992,0.48919,1.22247,1.13972,1.07251,0.000940625,0.000940625,0.000940625
27,349.279,1.24653,1.17551,1.01479,0.88665,0.66402,0.79622,0.5031,1.27031,1.11721,1.09619,0.00092825,0.00092825,0.00092825
28,362.379,1.26507,1.14972,1.02759,0.89443,0.68002,0.78037,0.50336,1.25186,1.11592,1.09142,0.000915875,0.000915875,0.000915875
29,375.564,1.25404,1.1674,1.03935,0.88926,0.64416,0.79445,0.496,1.27231,1.11295,1.12488,0.0009035,0.0009035,0.0009035
30,388.706,1.2606,1.09781,1.04132,0.88926,0.64416,0.79445,0.496,1.27231,1.11295,1.12488,0.000891125,0.000891125,0.000891125
31,401.816,1.21417,1.05277,1.0486,0.64629,0.83463,0.86876,0.54629,1.24132,1.04069,1.09813,0.00087875,0.00087875,0.00087875
32,414.818,1.2236,1.06047,1.01973,0.67924,0.83917,0.89398,0.57063,1.20129,1.01936,1.07995,0.000866375,0.000866375,0.000866375
33,427.93,1.24231,1.04853,1.0071,0.62928,0.85414,0.84561,0.53871,1.20757,1.03071,1.09553,0.000854,0.000854,0.000854
34,440.838,1.23292,1.04112,1.02426,0.61063,0.86528,0.84678,0.54924,1.20328,1.02765,1.09135,0.000841625,0.000841625,0.000841625
35,453.92,1.22429,1.03834,1.01469,0.73392,0.90642,0.9135,0.59565,1.15786,0.95317,1.04719,0.00082925,0.00082925,0.00082925
36,467.142,1.201,1.00708,0.98568,0.72264,0.91919,0.91646,0.60063,1.14971,0.93313,1.04544,0.000816875,0.000816875,0.000816875
37,480.131,1.2172,1.00153,1.02503,0.77345,0.89088,0.93055,0.59932,1.16788,0.92646,1.07458,0.0008045,0.0008045,0.0008045
38,493.342,1.16118,1.00786,1.03187,0.77345,0.89088,0.93055,0.59932,1.16788,0.92646,1.07458,0.000792125,0.000792125,0.000792125
39,506.591,1.21099,0.98416,1.00126,0.72058,0.87465,0.88984,0.5718,1.16621,0.92603,1.07692,0.00077975,0.00077975,0.00077975
40,519.51,1.17374,0.98686,1.03237,0.73769,0.85372,0.8991,0.57609,1.1634,0.91261,1.07403,0.000767375,0.000767375,0.000767375
41,533.237,1.15957,0.93011,1.00577,0.8039,0.87721,0.92219,0.5807,1.16296,0.88314,1.07438,0.000755,0.000755,0.000755
42,547.097,1.15844,0.918,1.02393,0.84321,0.91209,0.94123,0.61051,1.14913,0.85974,1.07149,0.000742625,0.000742625,0.000742625
43,559.632,1.16609,0.93111,1.02843,0.84605,0.94758,0.94156,0.60741,1.16637,0.86301,1.08825,0.00073025,0.00073025,0.00073025
44,572.197,1.14714,0.93857,1.01639,0.7844,0.89451,0.91113,0.58939,1.18208,0.90866,1.0951,0.000717875,0.000717875,0.000717875
45,585.361,1.14166,0.91051,0.9969,0.80003,0.92287,0.92299,0.61542,1.14418,0.92379,1.061,0.0007055,0.0007055,0.0007055
46,600.432,1.1737,0.89135,1.0159,0.80003,0.92287,0.92299,0.61542,1.14418,0.92379,1.061,0.000693125,0.000693125,0.000693125
47,615.411,1.13326,0.92502,1.00906,0.86401,0.92181,0.94161,0.6128,1.17531,0.89872,1.06973,0.00068075,0.00068075,0.00068075
48,629.323,1.14631,0.87702,1.01304,0.88497,0.88913,0.93827,0.60265,1.19339,0.86192,1.08813,0.000668375,0.000668375,0.000668375
49,645.095,1.17581,0.89246,1.01759,0.91466,0.88657,0.93642,0.58685,1.22156,0.862,1.11066,0.000656,0.000656,0.000656
50,659.746,1.13786,0.86071,0.98296,0.84831,0.90643,0.92657,0.59449,1.21088,0.87985,1.08656,0.000643625,0.000643625,0.000643625
51,674.407,1.1343,0.89059,0.96962,0.84627,0.90959,0.91235,0.57724,1.25217,0.8968,1.1039,0.00063125,0.00063125,0.00063125
52,690.135,1.14851,0.90765,1.02105,0.84924,0.91164,0.92484,0.57288,1.26375,0.88446,1.11131,0.000618875,0.000618875,0.000618875
53,704.422,1.16075,0.88773,1.00852,0.89504,0.91981,0.9478,0.61917,1.18636,0.8384,1.08012,0.0006065,0.0006065,0.0006065
54,718.178,1.12536,0.90271,1.00864,0.89504,0.91981,0.9478,0.61917,1.18636,0.8384,1.08012,0.000594125,0.000594125,0.000594125
