epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1836,1.71167,4.22868,1.38328,0,0,0,0,1.16833,4.16848,1.18341,3.75e-05,3.75e-05,3.75e-05
2,60.8453,1.21299,4.04402,1.12647,0,0,0,0,1.07656,3.94017,1.02241,8.57675e-05,8.57675e-05,8.57675e-05
3,106.054,1.19441,3.72921,1.06342,0.00795,0.06226,0.00457,0.00377,1.05639,3.8319,0.96009,0.000132055,0.000132055,0.000132055
4,169.395,1.15288,3.30756,0.98641,0.06554,0.66951,0.05602,0.03584,1.09653,3.76998,0.98106,0.000176362,0.000176362,0.000176362
5,206.172,1.15165,2.88877,0.9994,0.07143,0.74602,0.0883,0.06158,1.08016,3.67222,0.97904,0.00021869,0.00021869,0.00021869
6,245.171,1.17236,2.65361,0.97088,0.08202,0.84699,0.21163,0.1529,1.04475,3.51072,0.95728,0.000259038,0.000259038,0.000259038
7,353.644,1.1,2.35547,0.95315,0.08889,0.4836,0.22753,0.15529,1.09723,3.35676,0.95637,0.000297405,0.000297405,0.000297405
8,451.333,1.04319,2.19136,0.94421,0.09167,0.40513,0.21772,0.14646,1.11443,3.19081,0.95976,0.000333792,0.000333792,0.000333792
9,546.418,1.03504,1.91952,0.9343,0.09219,0.36658,0.20578,0.14229,1.06956,2.97057,0.94406,0.0003682,0.0003682,0.0003682
10,677.93,1.01468,1.73687,0.94668,0.11309,0.25214,0.17363,0.1299,1.04483,2.80867,0.94596,0.000400628,0.000400628,0.000400628
11,774.242,1.02083,1.57626,0.95194,0.09958,0.30864,0.19232,0.14628,1.08967,2.72612,0.95382,0.000431075,0.000431075,0.000431075
12,885.143,1.04314,1.50353,0.96341,0.47261,0.24101,0.21903,0.15622,1.17625,2.63601,0.98503,0.000459543,0.000459543,0.000459543
13,987.108,0.965,1.34146,0.93798,0.52918,0.2376,0.26486,0.19459,1.11623,2.4096,0.9697,0.00048603,0.00048603,0.00048603
14,1093,0.96626,1.32181,0.94528,0.44834,0.14964,0.15467,0.11973,1.07461,2.29218,0.96349,0.000510537,0.000510537,0.000510537
15,1216.56,0.92357,1.27209,0.93432,0.53009,0.23155,0.23472,0.1745,1.09838,2.10466,0.97999,0.000533065,0.000533065,0.000533065
16,1286.6,0.98716,1.20134,0.94824,0.52655,0.2569,0.23741,0.17791,1.05246,1.95365,0.97899,0.000553613,0.000553613,0.000553613
17,1366.81,0.91382,1.20585,0.92954,0.55127,0.23665,0.21572,0.16414,1.03174,1.8355,0.97952,0.00057218,0.00057218,0.00057218
18,1425.38,0.913,1.12032,0.93629,0.5403,0.29781,0.27476,0.20568,1.01095,1.75094,0.96032,0.000588767,0.000588767,0.000588767
19,1479.66,0.87512,1.1015,0.92294,0.50548,0.24619,0.23644,0.17987,1.04913,1.65609,0.95697,0.000603375,0.000603375,0.000603375
20,1543.56,0.92476,1.01972,0.92365,0.56236,0.23845,0.22572,0.17143,0.99126,1.55286,0.94654,0.000616003,0.000616003,0.000616003
21,1630.44,0.96522,1.05764,0.93855,0.53021,0.12355,0.14769,0.11646,0.94914,1.41535,0.94903,0.00062665,0.00062665,0.00062665
22,1708.69,0.91507,1.01002,0.91675,0.57737,0.25839,0.2492,0.19195,0.93721,1.34434,0.94422,0.000635318,0.000635318,0.000635318
23,1801.35,0.87142,0.96,0.92473,0.38442,0.04555,0.0934,0.06871,0.96365,1.29563,0.94674,0.000642005,0.000642005,0.000642005
